customer_id,first_name,last_name,Phone number,address,purchases
5959,Kaylen,Oliver,-368 247-0273,Michigan,240215
7056,Kassandra,Sutton,-864 449-3782,North,293006
3664,Steve,Oliver,-528 626-0775,Wisconsin,303366
6579,Lawson,Zimmerman,-635 896-6758,Christi,270008
8553,Skyler,Sherman,-468 261-3486,Nebraska,135337
3315,Oliver,Bean,-855 610-3015,Arizona,75270
9883,John,Mckee,-874 476-6770,Vista,166736
7799,Marlon,Horton,-700 234-7831,Illinois,276961
5447,Makayla,Hunter,-859 926-0228,Kansas,82617
6679,Jason,Thomas,-993 429-1555,Florida,196173
4158,Patience,Curtis,-744 469-5907,New,45487
3732,Kathryn,Meyer,-504 354-9747,York,259625
4513,Ariella,Owen,-887 795-2251,Indiana,273357
8766,Alison,Phelps,-728 403-7727,Colorado,241774
9559,Harley,Blanchard,-619 667-6263,Ohio,186397
9800,Isis,Koch,-825 482-6213,Hawaii,269571
9663,Jazmin,Barr,-810 975-2946,Idaho,31775
6590,Toby,Bernard,-639 776-2662,Ohio,313151
7195,Pierce,Rivera,-504 597-2637,Tennessee,253626
9868,Mohammad,Jones,-494 699-3215,California,136003
4730,Aimee,Stevens,-586 883-2855,Georgia,22286
7784,Kaylyn,Carney,-811 201-2241,California,290737
5204,Dayana,Cardenas,-652 747-3586,Arizona,154708
5258,Naomi,Andrews,-876 930-9715,Florida,127890
4246,Kinley,Giles,-464 754-3362,Paso,98641
8879,Averi,Cardenas,-570 681-5286,Jose,136993
8854,Kimberly,Haley,-707 288-9601,Worth,61709
3803,Tristan,Paul,-955 656-7306,Vegas,146340
5901,Andy,Valencia,-881 708-9863,Springs,173176
3954,Devan,Brewer,-971 997-0224,Texas,46682
6554,Izabelle,Massey,-671 893-7202,New,155485
3112,Elsie,Strong,-533 782-6931,Oregon,117117
3779,Justus,Mitchell,-645 377-4859,District,20544
3973,Carina,Contreras,-547 356-3088,Minnesota,155766
6674,Solomon,Roman,-826 552-5912,Hempstead,64798
7139,Annie,Patrick,-217 273-7946,Alabama,46210
3034,Anne,Dunn,-725 466-8364,Michigan,147632
3621,Regina,Gaines,-445 774-4112,North,291709
9154,Hana,Rojas,-766 444-6764,Wisconsin,251746
7147,German,Wolfe,-271 636-7185,Christi,234699
6618,Randall,Zhang,-224 548-8168,Nebraska,291191
8720,Hanna,Ferrell,-405 621-7243,Arizona,89219
7806,Tristen,Richards,-941 415-5660,Vista,53681
9530,Brice,Gaines,-918 467-8589,Illinois,73717
8329,Jazmin,Nash,-865 357-5631,Kansas,88589
5371,Christina,Noble,-970 411-9114,Florida,314400
3033,Giovanni,Watts,-396 898-4374,New,196279
4709,Gavyn,Herring,-521 220-3719,York,242999
3880,Efrain,Sullivan,-705 306-2074,Indiana,212064
3560,Ryan,Haley,-209 988-9948,Colorado,174927
7669,Braiden,Brennan,-510 567-1041,Ohio,291452
4030,Bria,Peters,-244 474-7517,Hawaii,206444
6400,Luis,Mendez,-534 993-8393,Idaho,203327
3971,Damian,Chambers,-337 913-0800,Ohio,249944
4245,Solomon,Johns,-996 201-8700,Tennessee,94483
8789,Ricky,Davenport,-603 395-0211,California,204670
6802,Denisse,Petersen,-525 343-9222,Georgia,132017
9587,Collin,Cantrell,-793 447-7312,California,232003
4644,Adrianna,Moyer,-585 203-5305,Arizona,309792
8409,Janiyah,Foster,-462 317-7836,Florida,165886
4240,Antoine,Dunn,-921 888-2259,Paso,217851
3377,Adalynn,Lambert,-264 736-5384,Jose,315078
4695,Cassidy,Howe,-323 693-9703,Worth,84553
3813,Ernesto,Harding,-334 943-4145,Vegas,306517
3355,Armani,Silva,-758 595-9180,Springs,224507
4664,Quentin,Armstrong,-711 498-4509,Texas,219709
8065,Laura,Solomon,-495 941-0900,New,38712
7533,Kai,Prince,-924 361-9157,Oregon,82621
7981,Lamont,Gross,-513 585-0895,District,241083
