Employee_id,first_name,last_name,phone_number,seniority/monthly,StockVin
1,Joseph,Dougherty,(357)206-5380,9,5YJYGAEEXMF159365
2,Michael,Morrison,(219)894-3571,192,5YJXCAE24LF264706
3,Pamela,Edwards,(380)249-6471,357,5YJSA1E25KF331229
4,Stuart,Moore,(226)502-5284,271,5YJXCAE21KF197562
5,Ricky,Anderson,(781)834-2896,294,5YJXCAE23JF138317
6,Kevin,Francis,(483)282-7259,434,5YJ3E1EBXKF451665
7,Chad,Torres,(255)847-0015,239,5YJXCDE20KF188420
8,Crystal,Butler,(403)469-6461,139,5YJ3E1EA4KF394841
9,Jennifer,Pena,(397)513-5574,386,5YJ3E1EB4KF393181
10,Mr. Jason,Jackson,(533)524-7745,475,5YJSA1E25KF306718
11,Kimberly,Ryan,(961)217-6536,139,5YJ3E1EA0KF486755
12,William,Miller,(749)232-2556,249,5YJSA1E26LF355945
13,Charles,Garner,(850)929-0229,109,5YJ3E1EA1KF432106
14,Regina,George,(574)888-6658,400,5YJ3E1EB2LF651246
15,Lisa,Rivera,(580)274-4171,231,5YJ3E1EA8LF659570
16,Mrs. Julia,Montgomery,(399)768-4177,252,5YJ3E1EA1KF402751
17,Danny,david,(576)968-9205,383,5YJSA1E49LF379240
18,William,Gonzales,(776)493-1059,311,5YJSA1E26HF216129
19,Michael,Hall,(603)646-7980,208,5YJSA1E46LF355283
20,Pamela,Cole,(976)757-6834,496,5YJXCDE22KF185194
21,Vanessa,Reilly,(370)649-1929,119,5YJSA1E27JF243667
22,Jonathan,Brady,(306)674-9693,109,5YJ3E1EB6KF407338
23,Zachary,Thomas,(568)600-1177,213,5YJ3E1EB6MF065246
24,Jose,Powell,(425)739-7444,138,5YJ3E1EA5MF854365
25,Michael,Nunez,(569)633-8865,415,5YJ3E1EA4KF395164
26,Jennifer,Sexton,(371)339-2273,432,5YJSA1E64MF447639
27,Diana,Pope,(385)934-5735,187,5YJSA1E47LF355700
28,Andrea,Miller,(856)768-1013,105,5YJXCBE24KF188778
29,Anthony,Mcdaniel,(274)995-4717,287,5YJSA1E22KF306367
30,Eddie,Conner,(623)501-0096,171,5YJ3E1EC3NF110461
31,Joshua,Brown,(694)490-5994,236,5YJ3E1EB0KF413751
32,Erin,Drake,(232)443-5045,305,5YJ3E1EA6KF464307
33,Patrick,Keller,(571)709-1433,284,5YJXCBE22HF053601
34,Faith,Barber,(308)795-5324,343,5YJYGDEF6LF022206
35,Mrs. heidi,Austin,(421)345-3055,247,5YJ3E1EB4KF368118
